补助资金	=总数=49=政府补贴49|
生产协议	=总数=5=合同签订5|
进行重组	=总数=5=资产重组5|
发行涉及	=总数=46=未分类2|关联交易19|增发44|兼并收购1|
 发行及涉及	=总数=5=关联交易3|增发5|
 发行涉及评估	=总数=9=增发9|
 非公开发行涉及	=总数=29=未分类2|关联交易19|增发27|
及人公司	=总数=15=股份减持1|交易异动1|兼并收购6|股份增持7|
公司交易	=总数=308=未分类8|交易异动2|资产重组5|质押7|回购7|债券发行4|首发1|合同签订12|股份减持3|关联交易263|增发16|兼并收购8|股份增持2|担保事项4|
 公司常交易	=总数=83=未分类1|合同签订4|关联交易78|
  公司常关联交易	=总数=82=关联交易82|
 公司及交易	=总数=20=回购1|关联交易16|增发5|兼并收购2|质押1|股份增持1|担保事项1|
  公司及关联交易	=总数=17=关联交易16|增发4|兼并收购2|担保事项1|
   公司及涉及关联交易	=总数=9=关联交易8|增发4|兼并收购2|
   公司及子公司关联交易	=总数=8=关联交易8|
 公司与交易	=总数=40=未分类1|合同签订7|增发2|关联交易37|
  公司与关联交易	=总数=39=合同签订5|关联交易39|
 公司交易之	=总数=15=未分类1|合同签订4|增发3|关联交易6|资产重组4|兼并收购3|股份增持1|
 与公司交易	=总数=12=增发3|关联交易9|
  与公司关联交易	=总数=8=关联交易8|
 公司和交易	=总数=8=未分类1|增发1|关联交易4|资产重组4|兼并收购2|
 对公司交易	=总数=22=关联交易21|兼并收购1|
  对公司关联交易	=总数=21=关联交易21|
 公司进行交易	=总数=23=回购7|未分类1|股份减持1|增发3|关联交易11|质押7|
  公司进行关联交易	=总数=10=关联交易10|
  公司股东进行式交易	=总数=7=回购6|股份减持1|质押6|
  公司股东进行购交易	=总数=7=回购6|股份减持1|质押6|
 公司控股交易	=总数=12=关联交易11|兼并收购1|股份增持1|
 公司交易情况	=总数=11=未分类2|关联交易8|担保事项1|
  公司关联交易情况	=总数=9=关联交易8|担保事项1|
 公司交易意见	=总数=14=未分类1|合同签订2|增发1|关联交易8|资产重组4|兼并收购2|
  公司关联交易意见	=总数=14=关联交易14|
  公司交易独立意见	=总数=5=增发1|关联交易2|资产重组4|兼并收购2|
 公司股东交易	=总数=10=回购6|股份减持1|关联交易3|质押6|
 公司资产交易	=总数=12=增发4|关联交易5|资产重组3|
 公司交易公告	=总数=10=股份减持1|交易异动1|关联交易9|
 公司交易交易	=总数=5=增发1|关联交易4|资产重组2|兼并收购2|
 公司交易事项	=总数=64=合同签订4|增发4|关联交易62|资产重组1|兼并收购4|
  公司关联交易事项	=总数=65=合同签订4|增发4|关联交易65|兼并收购3|
 公司之关联交易	=总数=5=关联交易5|兼并收购1|
 公司子公司交易	=总数=8=合同签订1|关联交易7|
 公司公司关联交易	=总数=13=未分类1|合同签订1|关联交易12|兼并收购2|
 公司关联交易认可	=总数=11=关联交易11|
与之报告	=总数=14=未分类1|股权激励13|
公司涉及	=总数=55=未分类6|股份减持11|股权激励1|诉讼仲裁1|关联交易24|增发11|兼并收购11|
 拟公司涉及	=总数=9=未分类1|股份减持5|关联交易3|
 公司所涉及	=总数=19=未分类3|股份减持7|关联交易2|兼并收购9|
  公司股权所涉及	=总数=11=股份减持6|兼并收购5|
 公司项目涉及	=总数=5=股份减持1|增发1|兼并收购3|
 公司股权涉及	=总数=18=股份减持9|关联交易2|兼并收购9|
  公司拟股权涉及	=总数=6=股份减持1|兼并收购5|
 公司涉及事项	=总数=8=增发2|关联交易6|兼并收购2|
 公司收购涉及	=总数=5=兼并收购5|
 公司资产涉及	=总数=6=股份减持1|关联交易5|
及人公告	=总数=5=高管变动3|兼并收购2|
股权过户	=总数=6=未分类1|股份减持4|质押1|股份增持1|
完成股份	=总数=17=回购1|未分类3|股份减持2|股份增持11|
 股东完成股份	=总数=10=未分类1|股份减持2|股份增持7|
履约能力	=总数=7=未分类1|合同签订6|
注销部分	=总数=47=回购39|未分类1|股权激励11|
 注销部分已	=总数=11=回购5|股权激励6|
 公司注销部分	=总数=24=回购19|股权激励8|
 注销部分股票	=总数=43=回购38|股权激励9|
  注销部分股票注销部分股票	=总数=5=回购5|
  股票期权注销部分限制性股票	=总数=6=回购6|
监事股票	=总数=10=违规违纪1|股份增持9|
 监事公司股票	=总数=11=未分类1|违规违纪1|股份增持9|
过户完成	=总数=19=未分类1|股份减持4|关联交易3|增发13|资产重组2|兼并收购2|股份增持2|
 资产过户完成	=总数=13=关联交易3|增发13|资产重组2|兼并收购1|
转让变更	=总数=6=股份减持6|
登记完成	=总数=18=未分类1|股份减持1|股权激励16|
业绩承诺	=总数=11=未分类2|关联交易1|增发1|资产重组3|业绩发布2|兼并收购2|
补偿协议	=总数=23=未分类1|合同签订22|政府补贴2|增发1|
 子公司补偿协议	=总数=7=合同签订7|
重大情况	=总数=55=未分类6|合同签订4|诉讼仲裁3|关联交易4|增发5|资产重组38|业绩发布1|质押1|兼并收购3|
 重大情况公告	=总数=16=合同签订3|增发1|诉讼仲裁2|资产重组10|质押1|
  重大资产情况公告	=总数=9=增发1|资产重组9|
 重大进展情况	=总数=27=未分类4|诉讼仲裁3|资产重组17|兼并收购2|质押1|
 重大资产情况	=总数=36=未分类1|关联交易2|增发3|资产重组34|业绩发布1|兼并收购1|
发行调整	=总数=10=债券发行1|增发9|
部分条件	=总数=6=回购5|未分类1|股权激励1|
业绩快报	=总数=991=业绩发布991|预增1|
股票办法	=总数=23=回购1|股权激励22|
债券公告	=总数=58=债券发行58|
受让股权	=总数=32=兼并收购2|股份增持30|
 受让部分股权	=总数=6=股份增持6|
质押业务	=总数=8=回购7|质押8|
调整金额	=总数=19=关联交易18|增发1|
增持本行	=总数=5=股份增持5|
股票批复	=总数=37=股权激励1|增发36|
新增股份	=总数=30=股权激励1|关联交易2|增发29|
 新增股份报告	=总数=22=关联交易1|增发22|
  新增股份变动报告	=总数=6=增发6|
 新增股份上市书	=总数=28=关联交易2|增发28|
公司结果	=总数=34=债券发行10|未分类3|股份减持1|增发2|诉讼仲裁4|股份增持14|
 公司发行结果	=总数=11=债券发行9|增发2|
公开事宜	=总数=7=债券发行1|增发6|
股份减持	=总数=28=未分类2|大宗交易2|股份减持26|
授予股票	=总数=93=回购8|未分类1|股权激励85|
 已授予股票	=总数=18=回购6|股权激励13|
  注销已授予限制性股票	=总数=5=回购5|
 注销授予股票	=总数=13=回购5|股权激励8|
公司补助	=总数=17=政府补贴17|
股东冻结	=总数=15=未分类2|诉讼仲裁11|质押2|
 控股股东冻结	=总数=6=未分类1|诉讼仲裁5|
 股东司法冻结	=总数=9=诉讼仲裁9|
股东涉及	=总数=11=股份减持7|关联交易3|兼并收购1|
 股东股权涉及	=总数=5=股份减持4|兼并收购1|
购买股权	=总数=31=合同签订2|关联交易6|增发21|兼并收购9|股份增持4|
 股份购买股权	=总数=22=增发21|兼并收购7|股份增持2|
行权期权	=总数=61=股权激励61|
终止股票	=总数=17=股权激励8|增发5|资产重组4|
签署经营	=总数=16=合同签订16|股份减持1|关联交易1|
 签署经营合同	=总数=8=合同签订8|
 签署经营协议	=总数=7=合同签订7|关联交易1|
上市风险	=总数=50=首发40|未分类7|预减2|业绩发布1|预增2|
 上市风险公告	=总数=48=首发40|未分类6|预减2|预增1|
  上市首风险提示公告	=总数=40=未分类2|首发37|预减2|
发明专利	=总数=47=专利获取47|
调整公司	=总数=33=债券发行2|未分类4|股权激励4|关联交易12|增发6|担保事项5|
 调整公司及	=总数=8=未分类1|股权激励2|关联交易2|增发2|担保事项1|
 调整公司股票	=总数=6=股权激励4|增发2|
人员公告	=总数=8=高管变动8|
资产事项	=总数=220=未分类10|合同签订1|股份减持2|关联交易2|增发85|资产重组123|兼并收购3|
 公司资产事项	=总数=24=未分类4|股份减持2|关联交易1|增发8|资产重组8|兼并收购2|
 资产事项进展	=总数=30=增发14|资产重组16|
 资产置换事项	=总数=6=合同签订1|关联交易1|增发1|资产重组4|
 重大资产事项	=总数=110=增发3|资产重组109|兼并收购2|
 资产事项公告	=总数=31=增发15|资产重组16|
 资产相关事项	=总数=17=未分类1|合同签订1|关联交易1|增发6|资产重组11|
配套事项	=总数=27=未分类1|增发26|资产重组1|兼并收购1|
 募集配套资金事项获得	=总数=11=增发11|
持本公司	=总数=39=未分类3|股份减持4|违规违纪1|诉讼仲裁1|质押4|股份增持27|
 公司持本公司	=总数=5=股份减持1|质押1|股份增持3|
 股东持本公司	=总数=28=股份减持2|诉讼仲裁1|质押4|股份增持21|
政府奖励	=总数=10=获得奖项1|政府补贴9|
财政补贴	=总数=23=政府补贴23|
调整行权	=总数=5=回购2|股权激励3|
重整计划	=总数=11=未分类2|诉讼仲裁3|资产重组6|
股票报告	=总数=168=回购1|未分类2|股权激励29|关联交易2|增发136|资产重组2|
 股票之报告	=总数=43=股权激励29|增发14|
 股票和报告	=总数=7=未分类1|关联交易1|增发6|资产重组1|
 股股票报告	=总数=29=未分类1|增发28|
 股票报告书	=总数=32=回购1|关联交易1|增发31|资产重组1|
 公司股票报告	=总数=32=股权激励25|增发7|
 股票计划报告	=总数=29=股权激励28|增发1|
 限制性股票报告	=总数=23=回购1|股权激励22|
事先认可	=总数=9=增发3|关联交易8|
及之意见	=总数=13=未分类1|股权激励1|关联交易2|增发9|资产重组1|业绩发布1|股份增持1|
股权涉及	=总数=110=未分类1|股份减持62|增发2|关联交易3|兼并收购45|担保事项1|
 股权所涉及	=总数=49=未分类1|股份减持27|增发2|兼并收购20|
 股权而涉及	=总数=5=股份减持3|兼并收购2|
 所股权涉及	=总数=5=股份减持3|关联交易2|兼并收购2|
 拟股权涉及	=总数=90=未分类1|股份减持49|增发2|兼并收购39|
 部分股权涉及	=总数=6=股份减持3|关联交易2|兼并收购3|
 股权项目涉及	=总数=20=股份减持11|增发1|兼并收购9|
  股权项目涉及评估	=总数=7=股份减持5|兼并收购2|
 股权收购涉及	=总数=13=兼并收购13|
公司拟超	=总数=8=未分类1|合同签订3|兼并收购4|
事宜股东	=总数=5=股份减持1|兼并收购4|
城市项目	=总数=7=未分类1|合同签订4|关联交易1|资产重组1|
涉及公告	=总数=15=增发1|关联交易2|诉讼仲裁12|资产重组1|
重大合同	=总数=147=未分类5|合同签订142|
 签订重大合同	=总数=30=合同签订30|
 子公司重大合同	=总数=8=合同签订8|
 特别重大合同公告	=总数=8=合同签订8|
 常经营重大合同公告	=总数=6=合同签订6|
激励人员	=总数=33=股权激励33|
股东完成	=总数=35=回购1|未分类6|合同签订2|股份减持10|质押1|兼并收购2|股份增持20|
 股东完成持	=总数=8=股份减持2|股份增持6|
 股东股份完成	=总数=11=合同签订2|股份减持6|股份增持8|
  股东持股份完成	=总数=6=股份减持1|股份增持5|
 控股股东完成	=总数=24=未分类2|合同签订1|股份减持7|兼并收购2|股份增持15|
 股东公司完成	=总数=6=未分类1|合同签订1|股份减持2|股份增持4|
 股东完成登记	=总数=6=未分类1|合同签订1|股份减持3|兼并收购1|股份增持2|
公司获得	=总数=80=债券发行29|未分类7|合同签订1|专利获取6|获得奖项1|股权激励1|政府补贴16|配股1|关联交易3|增发12|资产重组4|兼并收购2|
 公司及获得	=总数=8=未分类1|专利获取1|政府补贴4|增发2|
 公司获得核准	=总数=14=债券发行8|配股1|增发5|资产重组2|
 公司发行获得	=总数=12=债券发行2|增发11|
 发行公司获得	=总数=7=债券发行7|增发1|
股份结果	=总数=28=回购4|配股1|诉讼仲裁1|增发5|兼并收购1|股份增持17|
公司全资	=总数=74=回购1|未分类11|合同签订4|股份减持6|专利获取1|政府补贴1|关联交易15|兼并收购7|担保事项31|
 公司全资子公司资产	=总数=6=股份减持1|关联交易5|
 公司全资子公司事项	=总数=5=合同签订1|关联交易4|
 公司全资子公司关联	=总数=7=关联交易7|
公司安排	=总数=5=股权激励3|增发1|业绩发布1|
资产财务	=总数=32=合同签订1|关联交易1|增发25|资产重组7|质押1|兼并收购2|预增1|
 资产之独立财务顾问核查	=总数=15=增发12|资产重组3|
股票方案	=总数=12=股权激励1|增发11|
污水处理	=总数=12=未分类2|合同签订10|
股票进行	=总数=12=回购1|股权激励9|增发2|质押1|
 对股票进行调整	=总数=6=股权激励4|增发2|
资产资产	=总数=107=未分类6|股份减持13|关联交易39|增发66|资产重组43|兼并收购12|
 资产资产之	=总数=7=关联交易1|增发6|资产重组3|
 拟资产资产	=总数=22=未分类3|股份减持8|增发5|兼并收购7|
 资产及资产	=总数=53=股份减持2|关联交易33|增发47|资产重组30|兼并收购3|
  资产及负债项目资产评估	=总数=5=股份减持2|资产重组1|兼并收购2|
 收购资产资产	=总数=9=未分类1|兼并收购8|
 重大资产资产	=总数=55=关联交易38|增发51|资产重组37|
 资产购买资产	=总数=57=关联交易36|增发53|资产重组35|
 资产资产报告	=总数=37=未分类5|股份减持12|增发10|资产重组4|兼并收购6|
  转让资产资产报告	=总数=7=未分类1|股份减持6|
  部分资产资产评估报告	=总数=6=未分类1|股份减持5|
 公司资产资产	=总数=24=增发20|关联交易13|资产重组11|兼并收购1|
 资产资产评估	=总数=35=未分类5|股份减持12|增发8|资产重组1|兼并收购10|
 资产资产过户	=总数=7=关联交易2|增发6|资产重组4|
旅游投资	=总数=5=合同签订4|股份增持1|
回购业务	=总数=9=回购9|质押7|
聘任公司	=总数=148=未分类2|高管变动146|
 聘任为公司	=总数=5=高管变动5|
 对聘任公司	=总数=5=高管变动5|
 聘任公司副	=总数=21=高管变动21|
恢复生产	=总数=10=重大损失9|未分类1|
